,borough,ct2010,zipcode,NTA_code,NTA_name,match_id,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA
95,QN,100.0,11419.0,QN55,South Ozone Park,QN100.0,81.0,4.0,100.0,4113.0
97,BK,994.0,11236.0,BK50,Canarsie,BK994.0,47.0,3.0,994.0,4009.0
104,BK,519.0,11211.0,BK73,North Side-South Side,BK519.0,47.0,3.0,519.0,4001.0
107,QN,1341.0,11365.0,QN41,Fresh Meadows-Utopia,QN1341.0,81.0,4.0,1341.0,4106.0
110,MN,124.0,10021.0,MN31,Lenox Hill-Roosevelt Island,MN124.0,61.0,1.0,124.0,3805.0
111,BK,908.0,11212.0,BK81,Brownsville,BK908.0,47.0,3.0,908.0,4007.0
113,QN,639.0,11385.0,QN19,Glendale,QN639.0,81.0,4.0,639.0,4110.0
119,QN,592.0,11411.0,QN33,Cambria Heights,QN592.0,81.0,4.0,592.0,4105.0
124,BK,543.0,11205.0,BK99,park-cemetery-etc-Brooklyn,BK543.0,47.0,3.0,543.0,4004.0
125,BK,211.0,11205.0,BK68,Fort Greene,BK211.0,47.0,3.0,211.0,4004.0
128,QN,788.0,11436.0,QN76,Baisley Park,QN788.0,81.0,4.0,788.0,4112.0
133,BK,698.0,11234.0,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK698.0,47.0,3.0,698.0,4009.0
137,QN,394.0,11412.0,QN08,St. Albans,QN394.0,81.0,4.0,394.0,4112.0
168,QN,664.0,11422.0,QN05,Rosedale,QN664.0,81.0,4.0,664.0,4105.0
170,QN,694.0,11422.0,QN03,Springfield Gardens South-Brookville,QN694.0,81.0,4.0,694.0,4105.0
173,BX,358.0,10469.0,BX03,Eastchester-Edenwald-Baychester,BX358.0,5.0,2.0,358.0,3702.0
174,QN,892.0,11414.0,QN57,Lindenwood-Howard Beach,QN892.0,81.0,4.0,892.0,4113.0
180,BK,628.0,11229.0,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK628.0,47.0,3.0,628.0,4016.0
185,BK,108.0,11220.0,BK34,Sunset Park East,BK108.0,47.0,3.0,108.0,4012.0
187,QN,964.0,11692.0,QN12,Hammels-Arverne-Edgemere,QN964.0,81.0,4.0,964.0,4114.0
192,BK,170.0,11228.0,BK27,Bath Beach,BK170.0,47.0,3.0,170.0,4017.0
195,MN,206.0,10035.0,MN03,Central Harlem North-Polo Grounds,MN206.0,61.0,1.0,206.0,3803.0
196,SI,97.0,10310.0,SI22,West New Brighton-New Brighton-St. George,SI97.0,85.0,5.0,97.0,3903.0
201,MN,193.0,10025.0,MN09,Morningside Heights,MN193.0,61.0,1.0,193.0,3802.0
202,MN,29.0,10038.0,MN27,Chinatown,MN29.0,61.0,1.0,29.0,3809.0
205,QN,47.0,11106.0,QN70,Astoria,QN47.0,81.0,4.0,47.0,4101.0
213,BK,395.0,11221.0,BK78,Bushwick South,BK395.0,47.0,3.0,395.0,4002.0
214,BK,486.0,11218.0,BK41,Kensington-Ocean Parkway,BK486.0,47.0,3.0,486.0,4014.0
215,QN,111.0,11105.0,QN72,Steinway,QN111.0,81.0,4.0,111.0,4101.0
219,QN,297.0,11377.0,QN63,Woodside,QN297.0,81.0,4.0,297.0,4109.0
221,QN,329.0,11370.0,QN28,Jackson Heights,QN329.0,81.0,4.0,329.0,4102.0
222,QN,357.0,11369.0,QN27,East Elmhurst,QN357.0,81.0,4.0,357.0,4102.0
233,QN,415.0,11368.0,QN25,Corona,QN415.0,81.0,4.0,415.0,4107.0
235,QN,719.0,11374.0,QN17,Forest Hills,QN719.0,81.0,4.0,719.0,4108.0
239,SI,173.0,10314.0,SI05,New Springville-Bloomfield-Travis,SI173.0,85.0,5.0,173.0,3902.0
247,MN,34.0,10009.0,MN22,East Village,MN34.0,61.0,1.0,34.0,3809.0
252,SI,181.0,10304.0,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI181.0,85.0,5.0,181.0,3902.0
259,SI,213.0,10302.0,SI28,Port Richmond,SI213.0,85.0,5.0,213.0,3903.0
260,SI,64.0,10305.0,SI14,Grasmere-Arrochar-Ft. Wadsworth,SI64.0,85.0,5.0,64.0,3902.0
263,BK,1188.0,11208.0,BK83,Cypress Hills-City Line,BK1188.0,47.0,3.0,1188.0,4008.0
273,QN,511.0,11378.0,QN30,Maspeth,QN511.0,81.0,4.0,511.0,4110.0
274,QN,243.0,11377.0,QN50,Elmhurst-Maspeth,QN243.0,81.0,4.0,243.0,4109.0
287,QN,659.0,11379.0,QN21,Middle Village,QN659.0,81.0,4.0,659.0,4110.0
294,MN,82.0,10016.0,MN20,Murray Hill-Kips Bay,MN82.0,61.0,1.0,82.0,3808.0
298,MN,50.0,10003.0,MN21,Gramercy,MN50.0,61.0,1.0,50.0,3808.0
301,SI,40.0,10304.0,SI08,Grymes Hill-Clifton-Fox Hills,SI40.0,85.0,5.0,40.0,3903.0
329,BX,98.0,10473.0,BX59,Westchester-Unionport,BX98.0,5.0,2.0,98.0,3709.0
334,SI,226.0,10309.0,SI11,Charleston-Richmond Valley-Tottenville,SI226.0,85.0,5.0,226.0,3901.0
338,MN,98.0,10022.0,MN19,Turtle Bay-East Midtown,MN98.0,61.0,1.0,98.0,3808.0
346,BX,390.0,10467.0,BX44,Williamsbridge-Olinville,BX390.0,5.0,2.0,390.0,3702.0
351,MN,138.0,10028.0,MN32,Yorkville,MN138.0,61.0,1.0,138.0,3805.0
358,MN,166.0,10029.0,MN33,East Harlem South,MN166.0,61.0,1.0,166.0,3804.0
363,QN,1207.0,11365.0,QN52,East Flushing,QN1207.0,81.0,4.0,1207.0,4103.0
364,MN,200.0,10027.0,MN11,Central Harlem South,MN200.0,61.0,1.0,200.0,3803.0
376,SI,70.0,,SI36,Old Town-Dongan Hills-South Beach,SI70.0,85.0,5.0,70.0,3902.0
395,MN,178.0,10035.0,MN34,East Harlem North,MN178.0,61.0,1.0,178.0,3804.0
396,BK,431.0,11237.0,BK77,Bushwick North,BK431.0,47.0,3.0,431.0,4002.0
398,QN,208.0,11435.0,QN61,Jamaica,QN208.0,81.0,4.0,208.0,4112.0
400,MN,241.0,10032.0,MN36,Washington Heights South,MN241.0,61.0,1.0,241.0,3801.0
405,BK,1.0,11201.0,BK09,Brooklyn Heights-Cobble Hill,BK1.0,47.0,3.0,1.0,4004.0
406,BK,582.0,11229.0,BK25,Homecrest,BK582.0,47.0,3.0,582.0,4016.0
411,QN,981.0,11357.0,QN49,Whitestone,QN981.0,81.0,4.0,981.0,4103.0
412,QN,929.0,11356.0,QN23,College Point,QN929.0,81.0,4.0,929.0,4103.0
415,QN,630.0,11413.0,QN66,Laurelton,QN630.0,81.0,4.0,630.0,4105.0
416,BX,248.0,10461.0,BX49,Pelham Parkway,BX248.0,5.0,2.0,248.0,3704.0
419,BX,335.0,10463.0,BX22,North Riverdale-Fieldston-Riverdale,BX335.0,5.0,2.0,335.0,3701.0
420,BK,21.0,11201.0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK21.0,47.0,3.0,21.0,4004.0
423,QN,693.0,11374.0,QN18,Rego Park,QN693.0,81.0,4.0,693.0,4108.0
428,BK,45.0,11201.0,BK33,Carroll Gardens-Columbia Street-Red Hook,BK45.0,47.0,3.0,45.0,4005.0
431,BX,153.0,10459.0,BX75,Crotona Park East,BX153.0,5.0,2.0,153.0,3705.0
433,BX,371.0,10457.0,BX17,East Tremont,BX371.0,5.0,2.0,371.0,3705.0
445,BX,442.0,10466.0,BX62,Woodlawn-Wakefield,BX442.0,5.0,2.0,442.0,3702.0
447,BK,371.0,11233.0,BK79,Ocean Hill,BK371.0,47.0,3.0,371.0,4007.0
453,SI,8.0,10305.0,SI37,Stapleton-Rosebank,SI8.0,85.0,5.0,8.0,3903.0
