,zipcode,median_income,population,county,median_rent,restaurant_count,recycling_bin_count,num_subway_entrances,subway_bracket,logincome,logrent,logrestaurant,predicted_inc,difference,bronx,kings,newyork,queens
43,10462,46085.2485,71130,Bronx County,1519.0,139.0,1.0,5.0,"(0, 6]",10.738248188623274,7.325807502595773,4.934473933130692,10.487134446271822,0.2511137423514516,1,0,0,0
44,10463,52301.5618,62456,Bronx County,2025.0,124.0,6.0,7.0,"(6, 72]",10.86478151193984,7.613324979540639,4.820281565605037,10.655879686093966,0.20890182584587255,1,0,0,0
45,10465,61446.3421,41282,Bronx County,1850.0,82.0,1.0,0.0,0,11.02591958677815,7.52294091807237,4.4067192472642525,10.759835499496939,0.26608408728120736,1,0,0,0
46,10468,28765.1143,76073,Bronx County,1500.0,104.0,5.0,28.0,"(6, 72]",10.266918622868502,7.3132203870903005,4.6443908991413725,10.369929494781433,-0.1030108719129288,1,0,0,0
47,10471,56909.8136,18127,Bronx County,1800.0,51.0,6.0,0.0,0,10.949223076244767,7.495541943884256,3.9318256327243257,10.701564097287502,0.24765897895726496,1,0,0,0
48,11101,39955.099,22556,Queens County,2835.0,285.0,0.0,21.0,"(6, 72]",10.595511577593003,7.949797216161853,5.652489180268652,11.218664587584852,-0.6231530099918494,0,0,0,1
49,11104,50944.0617,29376,Queens County,1875.0,108.0,0.0,10.0,"(6, 72]",10.838483480337116,7.536363938404511,4.68213122712422,10.833939862891631,0.004543617445486703,0,0,0,1
50,11109,117750.0,843,New York County,2863.0,6.0,0.0,16.0,"(6, 72]",11.676319011878665,7.959625305098116,1.791759469228055,11.300134959021868,0.3761840528567948,0,0,1,0
51,11201,92174.8101,48101,Kings County,3227.0,429.0,12.0,44.0,"(6, 72]",11.431442162888668,8.079308192051961,6.061456918928018,10.977483573683877,0.4539585892047917,0,1,0,0
52,11204,42763.549000000006,74185,Kings County,1675.0,136.0,0.0,12.0,"(6, 72]",10.663441359823919,7.423568444259168,4.9126548857360515,10.584842242415622,0.07859911740829695,0,1,0,0
53,11205,42903.7942,35648,Kings County,2700.0,154.0,7.0,0.0,0,10.666715543895707,7.90100705199242,5.0369526024136295,10.975226683903763,-0.308511140008056,0,1,0,0
54,11209,56906.5301,69646,Kings County,1895.0,268.0,2.0,10.0,"(6, 72]",10.949165378028603,7.546974117516527,5.5909869805108565,10.663279771650464,0.2858856063781374,0,1,0,0
55,11211,37632.4577,84434,Kings County,2941.5,377.0,6.0,34.0,"(6, 72]",10.535622193705594,7.986674934304512,5.932245187448012,10.908877398503305,-0.37325520479771335,0,1,0,0
56,11213,35084.8797,65932,Kings County,2200.0,110.0,2.0,13.0,"(6, 72]",10.465525538864776,7.696212639346408,4.700480365792417,10.806357509955976,-0.34083197109119645,0,1,0,0
57,11215,81331.0535,59307,Kings County,2700.0,339.0,5.0,23.0,"(6, 72]",11.306283184476655,7.90100705199242,5.82600010738045,10.940627079903765,0.3656561045728903,0,1,0,0
58,11216,37290.3205,55021,Kings County,2300.0,185.0,0.0,12.0,"(6, 72]",10.526489067933463,7.7406644019172415,5.220355825078324,10.92667900855797,-0.4001899406245055,0,1,0,0
59,11217,72610.5963,35641,Kings County,3100.0,284.0,5.0,41.0,"(6, 72]",11.192866144708011,8.039157390473237,5.648974238161206,11.140959352142179,0.05190679256583408,0,1,0,0
60,11218,48010.6089,75418,Kings County,2100.0,151.0,0.0,16.0,"(6, 72]",10.779177284218981,7.6496926237115135,5.017279836814924,10.778608176272318,0.0005691079466636495,0,1,0,0
61,11221,34005.1582,75020,Kings County,2400.0,142.0,0.0,4.0,"(0, 6]",10.434267503855938,7.783224016336037,4.955827057601262,10.896810539097302,-0.4625430352413602,0,1,0,0
62,11222,54366.9033,40003,Kings County,2900.0,227.0,9.0,11.0,"(6, 72]",10.903510852475977,7.972466015974565,5.424950017481403,10.978352189180944,-0.07484133670496718,0,1,0,0
63,11223,39420.9802,74659,Kings County,1950.0,174.0,1.0,26.0,"(6, 72]",10.582053445948052,7.575584651557793,5.159055299214528,10.69389608304338,-0.11184263709533047,0,1,0,0
64,11226,38763.3706,106461,Kings County,1712.5,211.0,1.0,14.0,"(6, 72]",10.565231023008149,7.445709570136382,5.351858133476067,10.47350189978336,0.09172912322478588,0,1,0,0
65,11228,55200.2725,40169,Kings County,2200.0,56.0,0.0,4.0,"(0, 6]",10.918723168847203,7.696212639346408,4.02535169073515,10.937618137955976,-0.01889496910877142,0,1,0,0
66,11229,49910.6032,80407,Kings County,2200.0,129.0,2.0,0.0,0,10.81798874814498,7.696212639346408,4.859812404361672,10.757779409955976,0.06020933818900431,0,1,0,0
67,11230,47496.1618,88449,Kings County,1700.0,111.0,1.0,20.0,"(6, 72]",10.76840418254737,7.438383530044308,4.709530201312334,10.52753842149478,0.2408657610525893,0,1,0,0
68,11231,73074.9877,33174,New York County,3200.0,166.0,5.0,12.0,"(6, 72]",11.199241421659211,8.070906088787819,5.111987788356544,11.1770250649071,0.02221635675211253,0,0,1,0
69,11234,67952.9473,81033,Kings County,2200.0,149.0,0.0,0.0,0,11.126570793178745,7.696212639346408,5.003946305945459,10.800478553955976,0.32609223922276875,0,1,0,0
70,11235,44729.670999999995,79197,Kings County,2000.0,173.0,3.0,16.0,"(6, 72]",10.708392341157275,7.600902459542082,5.153291594497778,10.656024700591233,0.052367640566044926,0,1,0,0
71,11238,61468.5107,49085,Kings County,2900.0,250.0,6.0,29.0,"(6, 72]",11.02628030152881,7.972466015974565,5.521460917862246,11.015072997180944,0.011207304347870206,0,1,0,0
72,11354,50019.4132,54286,Queens County,2300.0,464.0,0.0,0.0,0,10.820166473055322,7.7406644019172415,6.139884552226255,10.92914566855797,-0.10897919550264844,0,0,0,1
73,11355,38623.9557,74434,Queens County,2000.0,222.0,4.0,10.0,"(6, 72]",10.56162797694134,7.600902459542082,5.402677381872278,10.64960932859123,-0.08798135164989063,0,0,0,1
74,11356,67807.8323,20443,Queens County,2275.0,58.0,0.0,0.0,0,11.124432987905458,7.729735331385051,4.060443010546419,11.033157654028196,0.0912753338772614,0,0,0,1
75,11357,74096.6311,39650,Queens County,2500.0,77.0,0.0,0.0,0,11.21312534601313,7.824046010856294,4.343805421853683,11.051239668701427,0.16188567731170345,0,0,0,1
76,11358,66312.1712,37044,Queens County,2200.0,156.0,2.0,0.0,0,11.10212873700286,7.696212639346408,5.049856007249537,10.903305637955976,0.1988230990468836,0,0,0,1
77,11360,72853.7515,18363,Queens County,2650.0,22.0,2.0,0.0,0,11.196209306522588,7.882314918980267,3.0910424533583165,11.12887578909153,0.06733351743105588,0,0,0,1
78,11361,70983.2093,28648,Queens County,2200.0,133.0,1.0,0.0,0,11.17019863932319,7.696212639346408,4.890349128221754,10.953882613955978,0.2163160253672132,0,0,0,1
79,11365,61097.32,37503,Queens County,2500.0,54.0,6.0,0.0,0,11.020223281677241,7.824046010856294,3.9889840465642745,10.924045000701428,0.0961782809758116,0,0,0,1
80,11367,53564.6755,39791,Queens County,1900.0,53.0,6.0,0.0,0,10.888645090618008,7.549609165154532,3.970291913552122,10.676179345343249,0.21246574527475914,0,0,0,1
81,11374,49707.9331,39224,Queens County,1850.0,95.0,1.0,7.0,"(6, 72]",10.81391981906516,7.52294091807237,4.553876891600541,10.766742147496938,0.04717767156821928,0,0,0,1
82,11375,69446.0737,70142,Queens County,2022.5,209.0,3.0,11.0,"(6, 72]",11.148305812387106,7.612089648932646,5.342334251964812,10.696204308745854,0.4521015036412539,0,0,0,1
83,11385,47469.8714,95262,Queens County,2200.0,292.0,1.0,2.0,"(0, 6]",10.767850502462275,7.696212639346408,5.676753802268282,10.730326029955975,0.037524472506298416,0,0,0,1
84,11432,50291.2065,54915,Queens County,2400.0,186.0,1.0,22.0,"(6, 72]",10.825585519731288,7.783224016336037,5.225746673713202,10.941882919097303,-0.11629739936601168,0,0,0,1
85,11435,44721.7965,47317,Queens County,1950.0,111.0,1.0,24.0,"(6, 72]",10.708216279204569,7.575584651557793,4.709530201312334,10.78565583504338,-0.07743955583881146,0,0,0,1
86,11693,54873.712999999996,11120,Queens County,1600.0,36.0,0.0,1.0,"(0, 6]",10.91278969679948,7.377758908227872,3.58351893845611,10.756395876481037,0.15639382031844384,0,0,0,1
